result,table,_start,_stop,_time,_value,_field,_measurement,building,floor,name
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 14:15:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 14:45:00+00:00,32.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 15:15:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 15:45:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 16:15:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 16:45:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 17:15:00+00:00,38.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 17:45:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 18:15:00+00:00,32.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 18:45:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 19:15:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 19:45:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 20:15:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 20:45:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
